Book-Title,Book-Author,Year-Of-Publication,Publisher
"Endymion, tome 2",Simmons,2000,Pocket
Pet Sematary (BBC Radio Presents),Stephen King,2001,Simon &amp; Schuster Audio
"Restless Heart (Loveswept, No 458)",Tami Hoag,1991,Loveswept
The Rag &amp; Bone Shop,Jeff Rackham,2002,Penguin Books
1001 Activities for a Smarter Child,Various,2002,Publications International
Achilles: A Novel,Elizabeth Cook,2003,Picador
"Cyteen, tome 1",Carolyn J. (Carolyn Janice) Cherryh,1999,J'ai lu
Family Traditions: Celebrations for Holidays and Everyday,Elizabeth Berg,1992,Putnam Pub Group
Living in Little Rock With Miss Little Rock: A Novel,Jack Butler,1993,Random House Inc
Acts of God: A Novel,Mary Morris,2001,Picador USA
Lyndon Johnson and the American Dream,Doris Kearns Goodwin,1991,St. Martin's Press
High Spirits,Robertson Davies,2002,Penguin Books
"Mosby, the Kennedy Center Cat",Beppie Noyes,1998,Vacation Spot Pub.
Double Down,Tom Kakonis,1991,Penguin USA
The Bible Cure for ADD and Hyperactivity,Don Colbert,2001,Strang Communications Company
Big Easy Backroad (A PI Jack Delmas Mystery),Martin Hegwood,2000,St. Martin's Minotaur
Father and Son: A Novel,Peter Maas,1989,Simon &amp; Schuster
Little Book of Big Bible Promises (Little Book of Big Bible Promises),Alice Zillman Chapin,2000,Tyndale House Publishers
The PGA Tour : A Look Behind The Scenes,"II, Dick Durrance",2003,Andrews McMeel Publishing
Wives and Mistresses,Suzanne Morris,1986,Bantam Dell Pub Group
The Knitting Goddess,Deborah Bergman,2000,Hyperion Press
Gildenford,Valerie Anand,1977,Scribner
Storey's Basic Country Skills: A Practical Guide to Self-Reliance,M. John Storey,1999,Storey Books
Hassle-Free Homework: A Six-Week Plan for Parents and Children to Take the Pain Out of Homework,Faith Clark,1989,Main Street Books
Arkansas Classic Country Cookbook: Traditional and Contemporary Recipes,Ruth Moore Malone,1994,August House Pub
Poimisin heliÃ¤t hiekat: Tarvittavin paikoin kirjallisen vapauden kuvittama kertomus Larin Parasken uskomattomasta elÃ¤mÃ¤stÃ¤,Anu Kaipainen,1979,SÃ¶derstrÃ¶m
PERFECTLY SAFE HOME,Jeanne Miller,1991,Fireside
Whose Child Is This?,Bill Wilson,1994,Charisma House
Mountain Laurel,Jude Deveraux,1990,Pocket Books
Southern Accent: Award-Winning Southern Recipes,Inc. Junior League of Pine Bluff,1994,Favorite Recipes Press
Koikkalainen kaukaa: Romaani,Arto Paasilinna,1987,SÃ¶derstrÃ¶m
Foxfire 4 (Foxfire (Paperback)),ELIOT WIGGINTON,1977,Anchor
Your God Is Too Safe,Mark Buchanan,2001,Multnomah
Hurmaava joukkoitsemurha: Romaani,Arto Paasilinna,1990,SÃ¶derstrÃ¶m
Dancer in Yellow,Elisabeth Ogilvie,1979,McGraw-Hill
Mrs. Hornstien: A Novel,Fredrica Wagman,1997,Henry Holt &amp; Company
Sleeping With a Sunflower: A Treasury of Old-Time Gardening Lore,Louise Riotte,1995,Storey Books
The Perennial Garden : Color Harmonies Through the Seasons,Jeff Cox,1992,Rodale Books
Maan Ã¤Ã¤reen,Kristina Carlson,1999,Otava
Irresistible Impulse: A True Story of Blood and Money,Robert Lindsey,1992,Simon &amp; Schuster
Other Women's Children,Perri Klass,1990,Random House Inc
How we lived: Little Rock as an American city,Frederick Hampton Roy,1984,August House
Freedom or Slavery,Pat Brooks,1990,New Puritan Library
The story of stories: The Bible in narrative form,Karen Lee-Thorp,1991,NavPress
Pallo sukassa,Uolevi Nojonen,1988,SÃ¶derstrÃ¶m
Getting Better All the Time,Liz Carpenter,1987,Simon &amp; Schuster
Someone Like You,Elaine Coffman,1997,Ballantine Books
Parenting young children: Helpful strategies based on Systematic Training for Effective Parenting (STEP) for parents of children under six,Don C Dinkmeyer,1989,AGS
Une partie de campagne,Guy de Maupassant,1995,LGF
FORD BK MOD MANNRP,Charlotte Ford,1982,Fireside
The Diet Alternative,Diane Hampton,1984,Whitaker House
The Alcoholics (Vintage Crime/Black Lizard),Jim Thompson,1993,Vintage Books USA
Sea Siren,Fern Michaels,1977,Ballantine Books
Ferris Beach: A Novel,Jill McCorkle,1990,Workman Pub Co
Suloinen myrkynkeittÃ¤jÃ¤: Romaani,Arto Paasilinna,1988,W. SÃ¶derstrÃ¶m
Burning Bright: A Play in Story Form (Penguin Twentieth Century Classics),John Steinbeck,1994,Penguin Books
Say Good-Bye to Stress,Kevin Leman,2002,Revell
"Summer Song (Silhouette Desire, #82)",Rita Clay,1983,Silhouette
"Frankenstein, ou, Le PromÃ?Â©thÃ?Â©e moderne",Mary Shelley,1997,LGF
Sheltering Bridges,Bobby Hutchinson,1985,Harlequin
Manana Manana: One Mallorcan Summer (Summersdale Travel),Peter Kerr,2001,Summersdale Publishers
"Champagne Spring (Harlequin Romance, #2332)",Margaret Rome,1980,Harlequin
A Light To The Heart,Barbara Cartland,1973,Pyramid
Il Postino (the Postman),Antonio Skarmeta,1996,Bloomsbury Publishing Plc
The Pursuit of Holiness/the Pursuit of Holiness Bible Study/the Practice of Godliness,Jerry Bridges,2002,Navpress Publishing Group
Les Chants de Maldoror (World Classics),Conte de Lautreamont,1999,Brooking International
Fresh Faith: What Happens When Real Faith Ignites God's People,Merrall Cymbala,2000,HarperCollins Publishers
"Fresh Wind, Fresh Fire Itpe: What Happens When God's Spirit Invades the Heart of His People",Jim Cymbala,1997,Zondervan Publishing Company
"Convenient Proposal (Marry Me?) (Presents, 2118)",Barbara Brooks-Simon,2000,Harlequin
God's Grace from Ground Zero,Jim Cymbala,2001,Zondervan Publishing Company
Ripley et les ombres,Patricia Highsmith,1991,LGF
"Sexscopes : How to Seduce, Stimulate, and Satisfy Any Sign",Stuart Hazleton,2001,Fireside
"Ask Me No Secrets (Silhouette Desire, 42)",Ruth Stewart,1983,Harlequin
Kristalliruusu,Risto IsomÃ¤ki,1991,KirjayhtymÃ¤
The Price of Passion (Avon Romance),Susan Sizemore,2001,Avon
"Angels Do Have Wings (Sealed With A Kiss) (Harlequin Romance, No 3378)",Barbara Brooks-Simon,1995,Harlequin
"And Babies Make Ten (New Arrivals) (Harlequin American Romance, 784)",Hiram Bingham,1999,Harlequin
"Love's Beautiful Dream (June Masters Bacher Series 3, Vol 2)",June Masters Bacher,1987,Harvest House Pub
Communication for Development in the Third World: Theory and Practice,Srinivas Melkote,1991,Sage Pubns
Sweetbriar Bride (#2 Seattle Sweetbriar Series/Brenda Wilbee),Brenda Wilbee,1986,Harvest House Pub
Mexican Fire,Martha Hix,1991,Zebra Books
Un lieu sÃ?Â»r,Barbara Gowdy,2002,Actes Sud
The Family Circle Christmas Treasury,Pr Knapp,1986,Family Circle
Christmas Trims Kids Can Make,Better Homes&amp;Gardens,1988,Meredith Books
A Dangerous Attraction (Candlelight Ecstasy Supreme),Emily Elliott,1984,Dell Publishing Company
Excession,Iain M Banks,2002,Le Livre de Poche
Inspirational Christmas Crafts,Madeline Hart,1998,Sterling Pub Co Inc
"Gale Force (Desire, No 514)",V.C. Andrews,1989,Silhouette
Be Joyful (Be),Warren W. Wiersbe,1974,Victor Books
L'Assassin habite au 21,S.-A. Steeman,1997,Librairie des Champs-ElysÃ?Â©es
Siniset Viipurin illat: Romaani,Laila Hietamies,1999,Otava
"Devil To Pay (Harlequin Temptation, No 422)",Renee Roszel,1992,Harlequin
Les fianÃ?Â§ailles d'ImogÃ?Â¨ne,Exbrayat,1978,Librairie des Champs-ElysÃ?Â©es
Patience Card Games (Collins Gem),Diagram Group,1996,HarperCollins Publishers
Lifesaver (Kismet),Janice Bartlett,1993,Meteor Pub Corp
Melt &amp; Pour Soapmaking,Marie Browning,2001,Sterling Publishing
Quick Country Christmas Quilts,Debbie Mumm,1995,St Martins Pr
The Ultimate Cross Stitch Companion: An Encyclopedia of Techniques and Ideas With over 150 Step-By-Step Projects,Dorothy Wood,1996,Smithmark Publishers
A Pictorial History of the Civil War Years,Paul M. Angle,1990,Main Street Books
Promised Lands: A Novel of the Texas Rebellion (Southwest Life and Letters),Elizabeth Crook,1995,Southern Methodist University Press
Pictorial HIST WW 2,EDWARD JABLONSKI,1985,Main Street Books
The worry box,Marion Halligan,1993,Minerva
FAR FROM SHORE,KEVIN MAJOR,1983,Laurel Leaf
The Kitchen Gardener's Companion: An A-Z Encyclopedia for Using the Food That You Grow,Pat Katz,2000,Pub Group West
The Reader's Digest Illustrated Book of Dogs,Readers Digest,1994,Reader's Digest Association
"Song In A Strange La (Harlequin Presents, No 993)",Diana Hamilton,1987,Harlequin
"Man On The Make (Harlequin Presents, No 1275)",Roberta Leigh,1990,Harlequin
Hammond Portable Atlas of the World,Hammond Inc,1993,Doubleday Books
Alien Plot,Piers Anthony,1993,Tor Books
Rival Attractions (Harlequin Presents No 418),David P. Jordan,1991,Harlequin
The Tenth Garfield Fat Cat 3-Pack: Garfield Life in the Fat Lane (#28); Garfield Tons of Fun (#29); Garfield  Bigger and Better (#30) (Garfield Fat Cat Three Pack),Jim Davis,1999,Ballantine Books
"Duarte'S Child (Latin Lovers) (Presents, 2199)",Lynne Graham,2001,Harlequin
An Unkindness of Ravenspl,Rendell,1992,Not Avail
Pearl River Country Veterans II: War Stories and Sea Tales,N. Christian Smoot,1992,Rivercross Pub
Cat Hymns,Stephen Curtis Thompson,1997,Quail Ridge Press
"Remembered Magic (Harlequin Superromance, No 268)",Marisa Carroll,1987,Harlequin
"Cover-Up in Columbus (Hardwick, Phil. Mississippi Mysteries Series, 8.)",Phil Hardwick,2001,Quail Ridge Press
"Matters of the Heart: Stop Trying to Fix the Old , Let God Give You Something New",Juanita Bynum,2002,Charisma House
"Conspiracy in Corinth (Mississippi Mystery Series, Number 7)",Phil Hardwick,1999,Quail Ridge Press
Princess Sultana's Daughters,Jean Sasson,1994,Bantam Dell Pub Group
L'aveugle Au Pistolet,Himes,0,Editions Flammarion
Rough edges (Kismet),Pat Pritchard,1993,Meteor Pub
"Collison in Columbia (Hardwick, Phil. Mississippi Mysteries Series, 6.)",Phil Hardwick,1998,Quail Ridge Press
LIFE: Century of Change: America in Pictures 1900-2000,Richard B. Stolley,2000,Bulfinch
One-Way Ticket,Way Margaret,1977,Harlequin
"Vengeance in Vicksburg (Mississippi Mystery Series, Number 5)",Phil Hardwick,1999,Quail Ridge Press
Bellefleur,Sondra Stanford,1980,Harlequin
A Woman's Walk With God,Elizabeth George,2000,Harvest House Publishers
Llewellyn's 2001 Herbal Almanac,Michael Fallon,2000,Llewellyn Pubns
"Captured in Canton (Mississippi Mystery Series, Number 3)",Phil Hardwick,1999,Quail Ridge Press
Perennials,Siegried Stein,1995,Colour Library Books
"Dangerous To Love (Devil's Gambit, #5)",Lisa Jackson,1985,Silhouette Books
"Newcomer in New Albany (Mississippi Mystery Series, Number 4)",Phil Hardwick,1999,Quail Ridge Press
The Colour Dictionary of Garden Plants; Compact Edition,Roy Hay,0,Bloomsbury Books
Bride of the Wind,Stephanie Blake,1984,Jove Books
Bane of Black Sword,Michael Moorcock,1986,Berkley Publishing Group
Walking in God's Light,Jim Larson,1984,Gospel Light Pubns
The Collected Dorothy Parker (Penguin Modern Classics),Dorothy Parker,2001,Penguin Books Ltd
Dolphin Music : Level 5 (Cambridge English Readers),Antoinette Moses,1999,Cambridge University Press
Flight of the Swan,Lacey Dancer,1992,Meteor Publishing Corporation
Lucado 3 in 1: In the Grip of Grace/When God Whispers Your Name/Applause of Heaven (Lucado 3 in 1),Max Lucado,2000,Thomas Nelson Publishers
Come the Night,CHRISTINA SKYE,1994,Dell
3-in-1 Lucado Collection,Max Lucado,2001,Word Publishing
Aller Welt Freund. Roman.,Jurek Becker,1985,Suhrkamp
The Anime!: Movie Guide,Helen McCarthy,1997,Overlook Press
The New Strong's Exhaustive Concordance Of The Bible : Classic Edition,James Strong,1990,Nelson Reference
Vor Sonnenaufgang. Soziales Drama.,Gerhart Hauptmann,1994,Ullstein Buchverlage GmbH &amp; Co. KG / Ullstein Tas
Shadow &amp; Sun,Mary Carroll,1984,Simon &amp; Schuster
America the Beautiful,Moon Unit Zappa,0,Headline
When Last We Loved,Judith Baker,1982,Pocket Books (Mm)
Indiana Jones and the Giants of the Silver Tower (Find Your Fate Adventure Series: No. 3),R. L. Stine,1994,Ballantine Books
Kaupungista ekokaupungiksi: Urbaanin ekologian Eurooppa,Briitta Koskiaho,1997,Gaudeamus
Simple Outdoor Style (Simple Style),Ljiljana Baird,1998,Watson-Guptill Publications
Soft Touch (Silhouette Intimate Moments),Moeth Allison,1985,Silhouette
"Encore, No. 219 (Second Chance at Love)",Carole Buck,1984,Jove Books
More Put a Lid on It: Small-Batch Preserving Year Round,Margaret Harwood,1998,John Wiley &amp; Sons Inc
"Conor (Harlequin Historical, No. 468)",Ruth Langan,1999,Harlequin
Put a Lid on It: Small-Batch Preserving for Every Season,Margaret Harwood,1996,John Wiley &amp; Sons Inc
Fette Welt: Roman,Helmut Krausser,1992,List
Barbecues (Company's Coming),Jean Pare,1991,Company's Coming Publishing
Maverick's Lady (Kismet Romance),Linda Jenkins,1992,Meteor Publishing Corporation
Lois Hole's Rose Favorites,Lois Hole,1997,Lone Pine Publishing
Dance of the Tiger: A Novel of the Ice Age,Bjorn Kurten,1995,University of California Press
Weeds of Canada and the Northern United States: A Guide for Identification,France Royer,1999,Lone Pine Publishing
"The Bean Trees, Animal Dreams, Pigs in Heaven",Barbara Kingsolver,2001,Quality Paperback Book Club -HarperColli
"Revenge Affair (Sweet Revenge/Seduction) (Harlequin Presents, No. 2062)",Susan Napier,1999,Harlequin
The Joy of Planting - 101 Recipes for Pots &amp; Containers Â¿ A Step-by-Step Guide,Arlette Laird,2000,Centax Distribution
Compost : Organic Gardening Basics Volume 8 (Rodale Organic Gardening Basics),Organic Gardening Magazine,2001,Rodale Books
The Story,Ted Miller,1986,Tyndale House Pub
Making Rustic Originals: Turning Furniture Finds into Folk Art,Abby Ruoff,1999,Pub Group West
"Not Without My Child (Showcase) (Harlequin Superromance, No 697)",Rebecca Winters,1996,Harlequin
The Very Thought of You,Lynn Kurland,2001,Berkley Publishing Group
The spiritual path to weight loss: Praising God by living a healthy life,Gregory L Jantz,1998,Publications International
Arrogant Beggar,Anzia Yezierska,1996,Duke University Press
"Shadows On The Sand (Silhouette Special Edition, No. 647)",Maggi Charles,1990,Silhouette
The Simple Abundance Companion,Sarah Ban Breathnach,2000,Warner Books
"C Is For Cowboy (Love Letters) (Silhouette Special Edition, No 926)",Steve Jackson,1994,Silhouette
The Secret World of Og,Pierre Berton,1991,McClelland &amp; Stewart
Irish Magic: Four Tales of Romance and Enchantment from Four Acclaimed Authors,Roberta Gellis,1995,Kensington Publishing Corporation
"The Cat Companion: The History, Culture, and Everyday Life of the Cat",Amy Shojai,1992,BDD Promotional Books Company
Love in a Dead Language: A Romance,Lee Siegel,1999,University of Chicago Press
"Duets #51 (Two Across, Two Down/The Cupid Caper) (Duets, 51)",Natalie Bishop,2001,Harlequin
Dolphins and Porpoises,Louise Quayle,1990,Smithmark Publishers
Her Italian Boss  (Valentine 2 - 1),Lynne Graham,2003,Harlequin
Torchlight,"Robert Louis, III Stevenson",1997,Putnam Pub Group
The Greenpeace Book of Dolphins,John May,1990,Sterling Pub Co Inc
"More of Him Less of Me: My Personal Thoughts, Inspirations, and Meditations on the Weigh Down Diet",Jan Christiansen,1999,Starburst Publishers
Where Old Bones Lie,Ann Granger,1994,St Martins Pr
On Being Blue: A Philosophical Inquiry,William H. Gass,1991,David R. Godine Publisher
"Back In The Marriage Bed (Amnesia) (Harlequin Presents, 2129 : Amnesia)",David P. Jordan,2000,Harlequin
Devotions for Dieters,Dan R. Dick,1997,Barbour Pub Inc
Playgoing in Shakespeare's London,Andrew Gurr,1989,Cambridge University Press
A Christian Woman's Guide to Hospitality,Quin Sherrer,1996,Servant Publications
The Many Faces of Van Helsing,Jeanne Cavelos,2004,Ace Books
Poems (Arden Shakespeare Second (Paperback)),William Shakespeare,1963,Arden Shakespeare
"Petticoat Lawyer (Silhouette Special Edition, No. 622)",Kate Meriwether,1990,Silhouette
Closer Walk New Testament,Bruce Wilkinson,1997,Walk Thru Bible Ministries
To Wake the Dead,John Dickson Carr,1984,Collier Books
What Children Tell Me About Angels,Charlie W. Shedd,1995,Gospel Light Pubns
Eveless Eden,Marianne Wiggins,1996,Harpercollins
"More Than Friends (Silhouette Special Edition, No 802)",Susan Mallery,1993,Silhouette
His walk among us,Ken Hepner,1998,Prayer Point Press
Only for You,Hannah Howell,1996,Kensington Publishing Corporation
"All We Know Of Heaven (Silhouette Special Edition, No 621)",Phyllis Halldorson,1990,Silhouette
Minute Meditations for Women,Emilie Barnes,1999,Harvest House Publishers
Miss Manners: A Citizen's Guide to Civility,Judith Martin,1999,Three Rivers Press (CA)
Falconer's Judgement,Ian Nairne Morson,1996,St Martins Pr
The Apothecary Rose: A Medieval Mystery,Candace M. Robb,1993,St Martins Pr
The Ordinary Princess,M. M. Kaye,2002,Puffin Books
Doberman Pinschers,Kerry V. Donnelly,1989,TFH Publications
Freedom to Love,Sabrina Myles,1981,Dell Publishing
Delicious Sex,Gael Greene,1986,Simon &amp; Schuster
God Loves My Kitchen Best,Mab Graff,1977,Zondervan
"In the Heart of the Heart of the Country &amp; Other Stories (Nonpareil Books, #21)",William H. Gass,1984,David R. Godine Publisher
Don't bug the genie! (Disney's Aladdin series),Page McBrier,1993,Mega-books
Mike'S Baby (Silhouette Desire No 781),Mary Lynn Baxter,1993,Silhouette
Amazing Aladdin,Alex Simmons,1993,Mega-books
Teaching with Your Mouth Shut,Donald L. Finkel,2000,Boynton/Cook
Admit to Murder,Margaret Yorke,1990,Penguin USA
Family Practice (Emergency!) (Harlequin Super Romance),Bobby Hutchinson,1999,Harlequin
Low-Fat Cooking (Original),Jean Par,2001,Company's Coming Publishing
The Lighthouse (A Mystery Scene Book),Marcia Muller,1992,Pub Group West
The Song of the Lioness Quartet,Tamora Pierce,2003,Random House Children's Books
CLOAK OF FATE,Julian Hodgson,1983,Pocket
Corporate Bodies: A Charles Paris Mystery,Simon Brett,1992,Simon &amp; Schuster
Escape From Desire (Harlequin Presents),Penny Jordan,1983,Harlequin
The Herb Bible: The Ultimate Herb Reference Book,Peter McHoy,1996,Cassell Illustrated
Concrete Pillow,Ronald Tierney,1997,Worldwide Library
"The Well-Filled Cupboard: A Collection of Seasonal Recipes, Gardening Hints, Country Lore and Domestic Pleasures",Mary Alice Downie,2003,Fitzhenry &amp; Whiteside Limited
Teach Your Children: How Many Bugs in a Box,Simon &amp; Schuster,1996,Simon &amp; Schuster Books
Parlez-moi d'amour,Raymond Carver,1990,LGF
The Body in the Fjord: A Faith Fairchild Mystery,Katherine Hall Page,1998,Avon
"Digital Photography for Dummies, Fourth Edition",Julie Adair  King,2002,For Dummies
